contract_name,hash,year_month,匹配日期,匹配攻击类型
bzx_exp,0x85dc2a433fd9eaadaf56fd8156c956da23fc17e5ef83955c7e2c4c37efa20bb5,20-Sep,20200920,Flash Loan Attack
cftoken_exp,0xc7647406542f8f2473a06fea142d223022370aa5722c044c2b7ea030b8965dd0,22-Apr,20220422,Oracle Price Manipulation
Contract_7657_exp,0x74279a131dccd6479378b3454ea189a6ce350cce51de47d81a0ef23db1b134d5,23-Jun,20230623,Flash Loan Attack
Burntbubba_exp,0x2b6d0af0dc513a15e325703405739057f9de6ef3f99934b957653b8a3fade4c6,23-Nov,20231123,Business Logic Flaw
bot_exp,0xbc08860cd0a08289c41033bdc84b2bb2b0c54a51ceae59620ed9904384287a38,23-Nov,20231123,Access Control Flaw
NBLGAME_exp,0xf4fc3b638f1a377cf22b729199a9aeb27fc62fe2983a65c4d14b99ee5c5b2328,24-Jan,20240124,Business Logic Flaw
BurnsDefi_exp,0x1d0af3a963682748493f21bf9e955ce3a950bee5817401bf2486db7a0af104b4,24-Feb,20240224,Business Logic Flaw
DN404_exp,0xbeef09ee9d694d2b24f3f367568cc6ba1dad591ea9f969c36e5b181fd301be82,24-Feb,20240224,Price Manipulation
Caterpillar_Coin_CUT_exp,0x2c123d08ca3d50c4b875c0b5de1b5c85d0bf9979dffbf87c48526e3a67396827,24-Sep,20240924,Reentrancy
Caterpillar_Coin_CUT_exp,0x6262c0f15c88aed6f646ed1996eb6aae9ccc5d5704d5faccd1e1397dd047bc8a,24-Sep,20240924,Reentrancy
Bankroll_exp,0x725f0d65340c859e0f64e72ca8260220c526c3e0ccde530004160809f6177940,24-Sep,20240924,Business Logic Flaw
BDEX_exp,0xe7b7c974e51d8bca3617f927f86bf907a25991fe654f457991cbf656b190fe94,22-Nov,20180422,Integer Overflow
Balancer_20200628_exp,0x013be97768b702fe8eccef1a40544d5ecb3c1961ad5f87fee4d16fdc08c78106,20-Jun,20200618,Access Control
BabySwap_exp,0xcca7ea9d48e00e7e32e5d005b57ec3cac28bc3ad0181e4ca208832e62aa52efe,22-Oct,20200628,Token Incompatible
bZx_exp,0x0fc5c0d41e5506fdb9434fab4815a4ff671afc834e47a533b3bed7182ece73b0,23-Dec,20200912,Incorrect Transfer
bZx_exp,0xb072f2e88058c147d8ff643694b43a42e36525b7173ce1daf76e6c06170b0e77,23-Dec,20200913,Incorrect Transfer
BBT_exp,0x4019890fe5a5bd527cd3b9f7ee6d94e55b331709b703317860d028745e33a8ca,24-Mar,20210516,Logic Flaw
BTC20_exp,0xcdd93e37ba2991ce02d8ca07bf6563bf5cd5ae801cbbce3dd0babb22e30b2dbe,23-Aug,20210527,Mathematical Flaw & Reentrancy
Eleven_exp,0x6450d8f4db09972853e948bee44f2cb54b9df786dace774106cd28820e906789,21-Jun,20210622,Doesn't Burn Shares
Cream_2_exp,0x0fe2542079644e107cbf13690eb9c2c65963ccb79089ff96bfaf8dced2331c92,21-Oct,20210830,Flashloan Attack & Reentrancy
DaoMaker_exp,0x96bf6bd14a81cf19939c0b966389daed778c3a9528a6c5dd7a4d980dec966388,21-Sep,20210903,Bad Access Control
CS_exp,0x906394b2ee093720955a7d55bff1666f6cf6239e46bea8af99d6352b9687baa4,23-May,20211027,Price Manipulation
Anyswap_exp,0xe50ed602bd916fc304d53c4fed236698b71691a95774ff0aeeb74b699c6227f7,22-Jan,20220118,Insufficient Token Validation
BabyDogeCoin_exp,0x098e7394a1733320e0887f0de22b18f5c71ee18d48a0f6d30c76890fb5c85375,23-May,20220305,Reentrancy
Audius_exp,0x3c09c6306b67737227edc24c663462d870e7c2bf39e9ab66877a980c900dd5d5,22-Jul,20220326,
AktuarNFT_exp,0x62d280abc60f8b604175ab24896c989e6092e496ac01f2f5399b2a62e9feaacf,22-Apr,20220423,Denial of Service
Bao_exp,0xdd7dd68cd879d07cfc2cb74606baa2a5bf18df0e3bda9f6b43f904f4f7bbdfc1,23-Jul,20220517,Flashloan
Harmony_multisig_exp,0x27981c7289c372e601c9475e5b5466310be18ed10b59d1ac840145f6e7804c97,22-Jun,20220524,Skim Token Balance
Audius_exp,0x4227bca8ed4b8915c7eec0e14ad3748a88c4371d4176e716e8007249b9980dc9,22-Jul,20220723,Storage Collision & Malicious Proposal
EtnProduct_exp,0x72321a3b50bb68ac3b46b0ab973b0e87b6c48ab73d23c4ba2cb73527f978d995,22-Aug,20220804,Business Logic Flaw
EGD_Finance_exp,0x4a66d01a017158ff38d6a88db98ba78435c606be57ca6df36033db4d9514f9f8,22-Aug,20220807,Flashloans & Price Manipulation
EGD_Finance_exp,0x50da0b1b6e34bce59769157df769eb45fa11efc7d0e292900d6b0a86ae66a2b3,22-Aug,20220808,Flashloans & Price Manipulation
ALP_exp,0x9983ca8eaee9ee69629f74537eaf031272af75f1e5a7725911d8b06df17c67ca,24-Mar,20220809,Skim Token Balance
BabyDogeCoin02_exp,0xbaf3e4841614eca5480c63662b41cd058ee5c85dc69198b29e7ab63b84bc866c,23-Jun,20220902,Business Logic Flaw & Missing Check for Number of NFT to Mint
BXH_exp,0xa13c8c7a0c97093dba3096c88044273c29cebeee109e23622cd412dcca8f50f4,22-Sep,20220929,Flashloan & Price Oracle Manipulation
AzukiDAO_exp,0x6233c9315dd3b6a6fcc7d653f4dca6c263e684a76b4ad3d93595e3b8e8714d34,23-Jul,20221001,Parameter Access Control
Carrot_exp,0xa624660c29ee97f3f4ebd36232d8199e7c97533c9db711fa4027994aa11e01b9,22-Oct,20221010,Public FunctionCall
ATK_exp,0x55983d8701e40353fee90803688170a16424ee702f6b21bb198bb8e7282112cd,22-Oct,20221012,Flashloan Manipulate Price
ATK_exp,0x601b8ab0c1d51e71796a0df5453ca671ae23de3d5ec9ffd87b9c378504f99c32,22-Oct,20221013,Flashloan Manipulate Price
EFLeverVault_exp,0x160c5950a01b88953648ba90ec0a29b0c5383e055d35a7835d905c53a3dda01e,22-Oct,20221014,Verify Flashloan Callback
ATK_exp,0x9e328f77809ea3c01833ec7ed8928edb4f5798c96f302b54fc640a22b3dd1a52,22-Oct,20221014,Flashloan Manipulate Price
EFLeverVault_exp,0x1f1aba5bef04b7026ae3cb1cb77987071a8aff9592e785dd99860566ccad83d1,22-Oct,20221015,Verify Flashloan Callback
ATK_exp,0xb181e88e6b37ee9986f2a57aefb94779402fdb928654aa7c1dda5138b90d0e14,22-Oct,20221015,Flashloan Manipulate Price
HPAY_exp,0x634f6fb7d2b6aa1439fb7940ced4b31626907b76d27510ffb2f74451b09b6b6e,22-Oct,20221018,Access Control
