contract_name,hash,year_month,Match_Date,Matched_Attack_Type,Matched_Loss_Amount,predicted_label
0DEX_exp,0x00b375f8e90fc54c1345b33c686977ebec26877e2c8cac165429927a6c9bdbec,23-Sep,20230911,Parameter Manipulation,,1
Prisma_exp,0x00c503b595946bccaea3d58025b5f9b3726177bbdc9674e634244135282116c7,24-Mar,20240329,Insufficient Validation,,1
LPMine_exp,0x00c5a772a58b117f142b2cbc8721b80d145ef7a910043ad08439863d0e78e300,25-Jan,20240125,Price Manipulation,,1
Balancer_20200628_exp,0x013be97768b702fe8eccef1a40544d5ecb3c1961ad5f87fee4d16fdc08c78106,20-Jun,20200618,Access Control,,1
ChannelsFinance_exp,0x0237855c63eb85c5f437fba5267cc869a08c58a49501e3e5ebec9990bdd97565,23-Dec,20231230,CompoundV2 Inflation Attack,,0
Gamma_exp,0x025cf2858723369d606ee3abbc4ec01eab064a97cc9ec578bf91c6908679be75,24-Jan,20240104,Price Manipulation,,1
AffineDeFi_exp,0x03543ef96c26d6c79ff6c24219c686ae6d0eb5453b322e54d3b6a5ce456385e5,24-Feb,20240201,Lack of Validation UserData,,1
MooCAKECTX_exp,0x03d363462519029cf9a544d44046cad0c7e64c5fb1f2adf5dd5438a9a0d2ec8e,22-Nov,20211130,Price Manipulation,,1
LocalTrader_exp,0x042b8dc879fa193acc79f55a02c08f276eaf1c4f7c66a33811fce2a4507cea63,23-May,20230524,Improper Access Control of Close Source Contract,,1
Sushi_Router_exp,0x04b166e7b4ab5105a8e9c85f08f6346de1c66368687215b0e0b58d6e5002bc32,23-Apr,20230409,Unchecked User Input,,1
,0x04e16a79ff928db2fa88619cdd045cdfc7979a61d836c9c9e585b3d6f6d8bc31,,20230104,Price Manipulation,,1
ChaingeFinance_exp,0x051276afa96f2a2bd2ac224339793d82f6076f76ffa8d1b9e6febd49a4ec11b2,24-Apr,20240415,Arbitrary External Call,,1
LFI_exp,0x051f80a7ef69e1ffad889ec7e1f7d29a9e80883156b5c8528438b5bb8b7a689a,23-May,20230523,Business Logic Flaw,,1
,0x055cec4fa4614836e54ea2e5cd3d14247ff3d61b85aa2a41f8cc876d131e0328,,20240201,Oracle Price Manipulation,,1
Axioma_exp,0x05eabbb665a5b99490510d0b3f93565f394914294ab4d609895e525b43ff16f2,23-Apr,20230621,Lack Slippage Protection,,1
DYNA_exp,0x06bbe093d9b84783b8ca92abab5eb8590cb2321285660f9b2a529d665d3f18e4,23-Feb,20230222,Business Logic Flaw,,1
ZoomproFinance_exp,0x06d7e7436414c658a33452d28400799f3637e83930dcec39b3bd065dabc6ef04,24-Feb,20230512,Business Logic Flaw,,1
Zunami_exp,0x0788ba222970c7c68a738b0e08fb197e669e61f9b226ceec4cab9b85abe8cceb,23-Aug,20230328,Reentrancy,,1
BabyDogeCoin_exp,0x098e7394a1733320e0887f0de22b18f5c71ee18d48a0f6d30c76890fb5c85375,23-May,20220305,Reentrancy,,1
FDP_exp,0x09925028ce5d6a54801d04ff8f39e79af6c24289e84b301ddcdb6adfa51e901b,23-Feb,20230529,Wrong Balance Check,,1
TCH_exp,0x09cd1ee1ea50480b64176d36cf5565b00a7fb81dcaa3d2c89c3a9fdb601fbd0b,24-May,20240516,Signature Malleability Vulnerability,,0
NXUSD_exp,0x0ab12913f9232b27b0664cd2d50e482ad6aa896aeb811b53081712f42d54c026,22-Sep,20220906,Flashloan Price Oracle Manipulation,,1
Sushi_Badger_Digg_exp,0x0af5a6d2d8b49f68dcfd4599a0e767450e76e08a5aeba9b3d534a604d308e60b,21-Jan,20210125,Sandwich Attack,,1
AIS_exp,0x0be817b6a522a111e06293435c233dab6576d7437d0e148b45efcf7ab8a10de0,23-Nov,20231129,Access Control,,1
DKP_exp,0x0c850f54c1b497c077109b3d2ef13c042bb70f7f697201bcf2a4d0cb95e74271,23-Mar,20230308,Flashloan Price Manipulation,,1
LaEeb_exp,0x0d13a61e9dc81cfae324d3d80e49830d9bbae300f760e016a15600889a896a1b,23-Oct,20231030,Lack Slippage Protection,,1
ROI_exp,0x0e14cb7eabeeb2a819c52f313c986a877c1fa19824e899d1b91875c11ba053b0,22-Sep,20230922,Oracle Price Manipulation,,1
Paribus_exp,0x0e29dcf4e9b211a811caf00fc8294024867bffe4ab2819cc1625d2e9d62390af,23-Apr,20230411,Reentrancy,,1
LPC_exp,0x0e970ed84424d8ea51f6460ce6105ab68441d4450a80bc8d749fdf01e504ed8c,22-Jul,20220725,Business Logic Flaw & Incorrect Recipient Balance Check,,0
Game_exp,0x0eb8f8d148508e752d9643ccf49ac4cb0c21cbad346b5bbcf2d06974d31bd5c4,24-Feb,20240211,Reentrancy & Business Logic Flaw,,1
bZx_exp,0x0fc5c0d41e5506fdb9434fab4815a4ff671afc834e47a533b3bed7182ece73b0,23-Dec,20200912,Incorrect Transfer,,1
Cream_2_exp,0x0fe2542079644e107cbf13690eb9c2c65963ccb79089ff96bfaf8dced2331c92,21-Oct,20210830,Flashloan Attack & Reentrancy,,1
MARA_exp,0x0fe3716431f8c2e43217c3ca6d25eed87e14d0fbfa9c9ee8ce4cef2e5ec4583c,24-Sep,20240924,Price Manipulation,,1
,0x10f2c28f5d6cd8d7b56210b4d5e0cece27e45a30808cd3d3443c05d4275bb008,,20240614,Access Control Flaw,,0
GoodCompound_exp,0x1106418384414ed56cd7cbb9fedc66a02d39b663d580abc618f2d387348354ab,23-Dec,20231211,Price Manipulation,,1
STRAC_exp,0x1147b3c0f3ebdd524c4e58430bb736eba9f7fa522158f5ad81eb3e2394b466d0,23-Jun,20230627,Business Logic,,1
UnverifiedContr_452E25_exp,0x1194e1d6085885ce054a7ff8cd3cd0c3fa308ec87e4ccde8dd0549842fef4f1b,24-Jul,20240703,Lack of Access Control,,1
LPMine_exp,0x11c1ef2c61f5a2e41d570a1547d2d891bf916853ddd94e32097e86bcdd21cb4c,25-Jan,20240125,Price Manipulation,,1
Platypus_exp,0x1266a937c2ccd970e5d7929021eed3ec593a95c68a99b4920c2efa226679b430,23-Feb,20230217,Business Logic Flaw,,1
FloorDAO_exp,0x1274b32d4dfacd2703ad032e8bd669a83f012dde9d27ed92e4e7da0387adafe4,23-Sep,20230905,Rebasing Logic Issue,,1
TGC_exp,0x12e8c24dec36a29fdd9b9d7a8b587b3abd2519089b6438c194e6e5eb357b68d8,24-May,20240512,Business Logic Flaw,,1
IvestDao_exp,0x12f27e81e54684146ec50973ea94881c535887c2e2f30911b3402a55d67d121d,24-Aug,20240812,Business Logic Flaw,,1
GFOX_exp,0x12fe79f1de8aed0ba947cec4dce5d33368d649903cb45a5d3e915cc459e751fc,24-May,20240510,Lack of Access Control,,1
Liquiditytokens_exp,0x1350cc72865420ba5d3c27234fd4665ad25c021b0a75ba03bc8340a1b1f98a45,24-May,20240531,Business Logic Flaw,,1
Dexible_exp,0x138daa4cbeaa3db42eefcec26e234fc2c89a4aa17d6b1870fc460b2856fd11a6,23-Feb,20230217,Arbitrary External Call Vulnerability,,1
SwampFinance_exp,0x13e75878a21af9a9b2207f5d9e18f19a43083a9ffbac36df5a7d4d67a52c164f,23-Nov,20231101,Business Logic Flaw,,1
